Symbol,Timestamp,Open,Close,ChangePct,Volume,RVOL
FFL,2026-01-08T05:00:20.000000000Z,21.31,21.97,3.0971,88434,0.3152
FFL,2026-01-08T05:02:32.000000000Z,21.38,21.98,2.8064,64999,0.2317
FFL,2026-01-08T05:05:08.000000000Z,21.4,21.99,2.7570,112322,0.4003
FFL,2026-01-08T05:07:28.000000000Z,21.39,21.99,2.8050,45265,0.1613
FFL,2026-01-08T05:09:55.000000000Z,21.4,21.95,2.5701,139261,0.4964
FFL,2026-01-08T05:11:54.000000000Z,21.38,22.04,3.0870,186446,0.6645
FFL,2026-01-08T05:13:53.000000000Z,21.31,22.02,3.3318,124714,0.4445
FFL,2026-01-08T05:16:16.000000000Z,21.36,22.04,3.1835,84705,0.3019
FFL,2026-01-08T05:19:20.000000000Z,21.37,22.07,3.2756,224282,0.7994
FFL,2026-01-08T05:21:18.000000000Z,21.4,22.05,3.0374,333148,1.1874
FFL,2026-01-08T05:23:28.000000000Z,21.4,22.05,3.0374,65279,0.2327
FFL,2026-01-08T05:25:48.000000000Z,21.38,22.05,3.1338,367267,1.3090
FFL,2026-01-08T05:29:12.000000000Z,21.38,22.02,2.9935,98213,0.3501
FFL,2026-01-08T05:31:41.000000000Z,21.35,22,3.0445,140599,0.5011
FFL,2026-01-08T05:34:25.000000000Z,21.4,22.09,3.2243,150935,0.5380
FFL,2026-01-08T05:37:27.000000000Z,21.4,22.08,3.1776,186892,0.6661
FFL,2026-01-08T05:40:14.000000000Z,21.33,22.07,3.4693,27344,0.0975
FFL,2026-01-08T05:42:40.000000000Z,21.34,22.03,3.2334,62776,0.2237
FFL,2026-01-08T05:46:02.000000000Z,21.39,22,2.8518,145880,0.5200
FFL,2026-01-08T05:48:31.000000000Z,21.37,21.95,2.7141,75142,0.2678
FFL,2026-01-08T05:50:46.000000000Z,21.38,21.92,2.5257,45826,0.1633
FFL,2026-01-08T05:53:43.000000000Z,21.37,21.91,2.5269,92397,0.3293
FFL,2026-01-08T05:57:32.000000000Z,21.35,21.93,2.7166,109130,0.3890
FFL,2026-01-08T06:01:33.000000000Z,21.36,21.91,2.5749,75841,0.2703
FFL,2026-01-08T06:04:27.000000000Z,21.36,21.96,2.8090,79682,0.2840
FFL,2026-01-08T06:07:11.000000000Z,21.4,21.96,2.6168,30921,0.1102
FFL,2026-01-08T06:08:51.000000000Z,21.4,21.97,2.6636,123855,0.4414
FFL,2026-01-08T06:11:21.000000000Z,21.4,21.97,2.6636,84255,0.3003
FFL,2026-01-08T06:15:03.000000000Z,21.39,21.96,2.6648,85000,0.3030
FFL,2026-01-08T06:18:49.000000000Z,21.37,21.92,2.5737,53407,0.1904
FFL,2026-01-08T06:21:49.000000000Z,21.36,21.92,2.6217,179611,0.6402
FFL,2026-01-08T06:26:22.000000000Z,21.39,21.8,1.9168,533802,1.9026
FFL,2026-01-08T06:30:00.000000000Z,21.35,21.85,2.3419,49285,0.1757
FFL,2026-01-08T06:34:09.000000000Z,21.33,21.82,2.2972,118906,0.4238
FFL,2026-01-08T06:37:38.000000000Z,21.34,21.7,1.6870,301872,1.0759
FFL,2026-01-08T06:41:36.000000000Z,21.35,21.71,1.6862,74124,0.2642
FFL,2026-01-08T06:46:16.000000000Z,21.33,21.69,1.6878,643950,2.2952
FFL,2026-01-08T06:48:59.000000000Z,21.45,21.71,1.2121,107671,0.3838
FFL,2026-01-08T06:50:45.000000000Z,21.48,21.75,1.2570,122959,0.4383
FFL,2026-01-08T06:52:30.000000000Z,21.44,21.73,1.3526,118084,0.4209
FFL,2026-01-08T06:54:36.000000000Z,21.45,21.78,1.5385,50022,0.1783
FFL,2026-01-08T06:57:36.000000000Z,21.45,21.79,1.5851,210623,0.7507
FFL,2026-01-08T07:01:00.000000000Z,21.44,21.85,1.9123,110049,0.3922
